Species
Luscinia megarhynchos
Macropygia amboinensis
Machaerirhynchus flaviventer
Manacus manacus
Xenopipo atronitens
Hemitriccus margaritaceiventer
Margarops fuscatus
Margarops fuscus
Melanerpes erythrocephalus
Malacoptila fusca
Poicephalus meyeri
Malimbus rubricollis
Parus palustris
Merops breweri
Megadyptes antipodes
Psilopogon henricii
Megalaima lineata
Meliphaga analoga
Melidectes belfordi
Melipotes fumigatus
Pipilo fuscus
Melospiza georgiana
Meliphaga gracilis
Melilestes megarhynchus
Pomatostomus isidorei
Melanocharis nigra
Meliphaga notata
Mergus merganser
Merops orientalis
Buarremon torquatus
Mecocerculus leucophrys
Micrastur gilvicollis
Micrastur mintoni
Sula granti
Micrastur ruficollis
Milvus milvus
Mimus polyglottos
Mionectes macconnelli
Mionectes striaticollis
Mitu tomentosum
Mitu tuberosum
Molothrus bonariensis
Motacilla clara
Molothrus badius
Pardirallus sanguinolentus
Molothrus oryzivorus
Monarcha chrysomela
Monarcha guttula
Arses telescopthalmus
Paroaria coronata
Monarcha melanopsis
Monasa nigrifrons
Ramphastos tucanus
Monasa morphoeus
Arses kaupi
Monarcha trivirgatus
Grallina cyanoleuca
Muscicapa dauurica
Cygnus olor
Lanius meridionalis
Mycteria americana
Micrastur semitorquatus
Pseudoscops clamator
Pulsatrix koeniswaldiana
Buteo brachyurus
Buteo magnirostris
Caracara plancus
Falco peregrinus
Myiopagis caniceps
Buarremon basilicus
Myiopagis flavivertex
Myioborus flavivertex
Vireo leucophrys
Turdus flavipes
Phaethornis malaris
Elaenia chiriquensis
Myiarchus tyrannulus
Rhytipterna simplex
Campylorhynchus turdinus
Cracticus torquatus
Cracticus tibicen
Myophonus caeruleus
Myioborus ornatus
Myrmotherula longipennis
Neothraupis fasciata
Myrmotherula menetriesii
Myrmeciza fortis
Myrmeciza hemimelaena
Myrmoborus leucophrys
Rhegmatorhina berlepschi
Schistocichla humaythae
Gymnopithys rufigula
Thamnomanes ardesiacus
Mionectes oleagineus
Myzomela caledonica
Lichmera incana
Myzomela cardinalis
Rhipidura fuliginosa
Rhipidura spilodera
Myzomela sanguinolenta
Entomyzon cyanotis
Leptocoma sericea
Cyanomitra obscura
Cyanomitra cyanolaema
Nemosia pileata
Thryothorus genibarbis
Newtonia brunneicauda
Niltava davidi
Nigrita bicolor
Niltava sundara
Garrulax albogularis
Regulus regulus
Niltava vivida
Ninox philippensis
Manorina melanocephala
Nothocrax urumutum
Nucifraga columbiana
Numenius phaeopus
Nycticorax nycticorax
Penelope superciliaris
Sarcoramphus papa
Amazonetta brasiliensis
Anser cygnoides
Cygnus melancoryphus
Plectropterus gambensis
