Species
Vireo plumbeus
Baeolophus ridgwayi
Columbina buckleyi
Columbina talpacoti
Coccyzus melacoryphus
Columbina cruziana
Leptotila verreauxi
Collocalia esculenta
Columbina inca
Motacilla flava
Passer hispaniolensis
Locustella luscinioides
Emberiza cia
Euplectes orix
Emberiza schoeniclus
Motacilla alba
Passer domesticus x hispaniolensis
Scenopoeetes dentirostris
Rhinomyias albigularis
Turdus mupinensis
Cyornis concretus
Ficedula speculigera
Poospiza lateralis
Coryphistera alaudina
Limnornis curvirostris
Mimus saturninus
Stephanophorus diadematus
Dolichonyx oryzivorus
Sturnus vulgaris
Carduelis spinus
Foudia madagascariensis
Ploceus grandis
Cinnyris ludovicensis
Foudia omissa
Ploceus nelicourvi
Columba malherbii
Colluricincla megarhyncha
Colluricincla boweri
Columbina passerina
Zenaida graysoni
Thamnophilus doliatus
Columbina minuta
Myiophobus fasciatus
Cymbilaimus lineatus
Lophotriccus galeatus
Columbina picui
Fregata magnificens
Colinus virginianus
Callipepla gambelii
Conopophaga melanops
Conopophaga aurita
Leptopogon amaurocephalus
Philydor rufum
Polioptila plumbea
Thraupis sayaca
Tolmomyias flaviventris
Trichothraupis melanops
Copsychus albospecularis
Nonnula rubecula
Volatinia jacarina
Copsychus luzoniensis
Caprimulgus macrurus
Erithacus komadori
Corythaeola cristata
Lamprotornis regius
Coracias garrulus
Veniliornis affinis
Veniliornis passerinus
Cinnyris cupreus
Cinnyris venustus
Coturnix coturnix
Cracticus louisiadensis
Crateroscelis murina
Cracticus nigrogularis
Cracticus quoyi
Cranioleuca vulpina
Creatophora cinerea
Creagrus furcatus
Anous stolidus
Crithagra capistrata
Crithagra mozambica
Crinifer piscator
Neospiza concolor
Turdus olivaceofuscus
Lonchura bicolor
Cuculus fugax
Sylvia curruca
Turdus viscivorus
Strix aluco
Sylvia communis
Sylvia conspicillata
Sylvia nisoria
Amaurornis phoenicurus
Tadorna tadorna
Crossoptilon crossoptilon
Grus grus
Passer montanus
Cyanopica cyanus
Ardea cinerea
Spheniscus humboldti
Ixobrychus sinensis
Coccothraustes coccothraustes
Zosterops japonicus
Grus nigricollis
Geronticus calvus
Cyanopica cooki
Cyanocitta cristata
Cyanocompsa cyanoides
Cinnyris fuelleborni
Spermophaga haematina
Nectarinia oritis
Ploceus melanogaster
Pyrrhocorax pyrrhocorax
Cyanocitta stelleri
Icterus cayanensis
Lepidothrix coronata
Thamnomanes caesius
Myrmornis torquata
Myrmoborus myotherinus
Sclerurus caudacutus
Microbates collaris
Geotrygon montana
Dixiphia pipra
Hylexetastes perrotii
Pithys albifrons
Cyanoptila cyanomelana
Cyanerpes cyaneus
Anas platyrhynchos
Cymbilaimus sanctaemariae
Cyphorhinus arada
Cypsnagra hirundinacea
Dacnis cayana
Deconychura longicauda
Deleornis fraseri
Riparia riparia
Chrysomma sinense
Oriolus oriolus
Egretta garzetta
Prinia socialis
Zosterops palpebrosus
Dendrocygna autumnalis
Rynchops niger
Dendrocolaptes certhia
Malacoptila rufa
Saltator coerulescens
Bucco tamatia
Pyriglena leuconota
Dendroica caerulescens
Dendroica discolor
Dendrocincla fuliginosa
Dendrocygna javanica
Dendroica magnolia
Dendrocincla merula
Thamnophilus aethiops
Formicarius colma
Dendroica pensylvanica
Vireo griseus
Cacicus haemorrhous
Diopsittaca nobilis
Cranioleuca pyrrhophia
Basileuterus culicivorus
Basileuterus leucoblepharus
Thryothorus longirostris
Formicivora melanogaster
Pachyramphus polychopterus
Parula pitiayumi
Turdus leucomelas
Turdus rufiventris
Alopochen aegyptiacus
Spheniscus magellanicus
Cygnus atratus
Netta erythrophthalma
Pipile jacutinga
Psarocolius decumanus
Phoenicopterus chilensis
Ramphastos toco
Guaruba guarouba
Ramphocelus carbo
Thamnophilus nigrocinereus
Hemithraupis guira
Cacicus solitarius
Hypocnemis subflava
Pipra fasciicauda
Turdus hauxwelli
Xiphorhynchus ocellatus
Ammodramus humeralis
Colaptes melanochloros
Dumetella carolinensis
Ramphastos vitellinus
Dendrocitta vagabunda
Dendrocygna viduata
Pavo cristatus
Dendrocincla turdina
Myrmotherula axillaris
Dicrurus balicassius
Dichrozona cincta
Dicaeum trigonostigma
Buthraupis montana
Diglossopis caerulescens
Diglossa albilatera
Hemispingus verticalis
Diglossa lafresnayii
Anisognathus lacrymosus
Diglossa humeralis
Dolospingus fringilloides
Icterus chrysocephalus
Quiscalus quiscula
Prunella modularis
Emberiza citrinella
Lagopus lagopus
Dysithamnus mentalis
Elaenia flavogaster
Capsiempis flaveola
Dendrocolaptes platyrostris
Myiarchus tuberculifer
Myiodynastes maculatus
Pitangus sulphuratus
Elaenia parvirostris
Contopus sordidulus
Emberizoides herbicola
Embernagra platensis
Emberiza buchanani
Sula nebouxii
Sylvia melanocephala
Sylvia deserticola
Emberiza hortulana
Pheucticus melanocephalus
Empidonax oberholseri
Emberiza rutila
Emberiza spodocephala
Phylloscopus nitidus
Leiothrix lutea
Pyrrhula pyrrhula
Saxicola torquata
Emberiza tristrami
Enicurus ruficapillus
Eopsaltria australis
Eophona personata
Erythrura prasina
Erythrura viridifacies
Estrilda melpoda
Turtur afer
Aplopelia larvata
Euphonia chlorotica
Eudynamys cyanocephala
Eudyptes chrysocome
Eudocimus ruber
Eulacestoma nigropectus
Icteria virens
Eudyptula minor
Tolmomyias sulphurescens
Euphonia xanthogaster
Eutoxeres aquila
Phaethornis guy
Euphonia violacea
Euphonia laniirostris
Vireo olivaceus
Rhipidura rufifrons
Poecilodryas albispecularis
Pachycephala simplex
Sericornis magnirostris
Calyptorhynchus funereus
Calyptorhynchus lathami
Rhipidura rufiventris
Ficedula narcissina
Cettia diphone
Troglodytes troglodytes
Hypsipetes parvirostris
Cinnyris comorensis
Nectarinia humbloti
Nectarinia notata
Mystacornis crossleyi
Newtonia amphichroa
Formicarius analis
Formicivora grisea
Drymophila squamata
Formicivora serrana
Foudia eminentissima
Cinnyris dussumieri
Foudia sechellarum
Francolinus squamatus
Fregata andrewsi
Fregata minor
Fregata aquila
Fulica atra
Furnarius leucopus
Thraupis episcopus
Furnarius rufus
Galbula albirostris
Gallus gallus
Myiarchus swainsoni
Myiobius barbatus
Babax lanceolatus
Garrulax pectoralis
Galbula ruficauda
Garrulax sannio
Camaroptera brevicaudata
Zenaida galapagoensis
Leptotila rufaxilla
Zenaida macroura
Leptotila plumbeiceps
Geospiza fuliginosa
Geotrygon linearis
Zoothera sibirica
Helmitheros vermivorum
Euneornis campestris
Dendroica palmarum
Zonotrichia albicollis
Passerina amoena
Dendroica adelaidae
Spizella pusilla
Agelaius phoeniceus
Gerygone palpebrosa
Athene brama
Glaucidium cuculoides
Orthotomus sutorius
Tephrodornis pondicerianus
Gyps tenuirostris
Glaucidium sjostedti
Glyphorynchus spirurus
Turdus amaurochalinus
Gorsachius goisagi
Grallaria quitensis
Grallaria ruficapilla
Emberiza bruniceps
Emberiza melanocephala
Grus americana
Grus leucogeranus
Grus japonensis
Grus monacha
Acrocephalus sechellensis
Sylvia cantillans
Acrocephalus gracilirostris
Philomachus pugnax
Acrocephalus schoenobaenus
Acrocephalus paludicola
Acrocephalus mendanae
Cercomela fusca
Foudia flavicans
Hemignathus flavus
Hemignathus virens
Himatione sanguinea
Hippolais pallida
Humblotia flavirostris
Lonchura malacca
Loxigilla violacea
Megalurus palustris
Mimus gilvus
Neochmia temporalis
Orthotomus cucullatus
Paradoxornis webbianus
Stachyris pyrrhops
Vestiaria coccinea
Zosterops borbonicus
Zosterops chloronothos
Zosterops maderaspatanus
Zosterops mouroniensis
Lonchura malabarica
Tylas eduardi
Zosterops mayottensis
Notiomystis cincta
Acrocephalus orientalis
Nectarinia famosa
