Species
Pipile cujubi
Nectarinia sperata
Prinia inornata
Acrocephalus aedon
Emberiza elegans
Emberiza pusilla
Parus major
Poecile montanus
Parus venustulus
Phylloscopus proregulus
Sitta europaea
Luscinia cyanura
Carduelis flammea
Loxia leucoptera
Poecile hudsonica
Empidonax alnorum
Empidonax flaviventris
Empidonax hammondii
Junco hyemalis
Melospiza lincolnii
Passerculus sandwichensis
Dendroica coronata
Setophaga striata
Zonotrichia leucophrys
Acrocephalus agricola
Cyanistes caeruleus
Eudynamys scolopaceus
Saxicoloides fulicatus
Acanthorhynchus tenuirostris
Accipiter badius
Accipiter brevipes
Accipiter francesiae
Accipiter gentilis
Accipiter cooperii
Accipiter soloensis
Accipiter tachiro
Bleda eximius
Bleda syndactylus
Campethera nivosa
Fraseria cinerascens
Merops malimbicus
Neocossyphus fraseri
Neocossyphus poensis
Oriolus brachyrhynchus
Dyaphorophyia castanea
Ploceus nigricollis
Zoothera camaronensis
Ficedula albicollis
Alethe fuelleborni
Mirafra rufocinnamomea
Neocichla gutturalis
Tockus alboterminatus
Crex crex
Euplectes hordeaceus
Ficedula hypoleuca
Acrocephalus dumetorum
Phylloscopus trochilus
Hippolais polyglotta
Acrocephalus scirpaceus
Aegithalos caudatus
Acrocephalus newtoni
Accipiter nisus
Acrocephalus arundinaceus
Acrocephalus stentoreus
Actenoides lindsayi
Sturnus tristis
Adelomyia melanogenys
Aegolius funereus
Emberiza godlewskii
Ficedula parva
Aegithalos concinnus
Aegithina tiphia
Dicrurus leucophaeus
Terpsiphone viridis
Aegypius monachus
Sylvia borin
Dicrurus adsimilis
Euplectes capensis
Nectarinia venusta
Gymnoris superciliaris
Ploceus ocularis
Ploceus velatus
Pytilia melba
Quelea quelea
Hedydipna collaris
Cyanomitra verticalis
Cyanomitra olivacea
Ploceus princeps
Columba livia
Columba palumbus
Trachyphonus vaillantii
Corvus albicollis
Cisticola brachypterus
Emberiza flaviventris
Ceyx pictus
Laniarius ferrugineus
Cinnyris mediocris
Ploceus baglafecht
Batis dimorpha
Chrysococcyx klaas
Nectarinia afra
Andropadus tephrolaemus
Cisticola erythrops
Cisticola natalensis
Cisticola rufilatus
Pytilia afra
Euplectes ardens
Malaconotus blanchoti
Estrilda melanotis
Myrmecocichla arnotti
Lonchura cucullata
Cryptospiza reichenovii
Pogonocichla stellata
Serinus striolatus
Batis molitor
Lagonosticta rubricata
Colius striatus
Merops pusillus
Amandava subflava
Lamprotornis chalybaeus
Turtur chalcospilos
Milvus migrans
Numida meleagris
Serinus mozambicus
Oriolus auratus
Indicator indicator
Cossypha heuglini
Hypargos niveoguttatus
Tauraco corythaix
Melaniparus niger
Centropus superciliosus
Cercotrichas barbata
Treron calvus
Campethera abingoni
Lybius torquatus
Illadopsis pyrrhopterum
Nectarinia senegalensis
Sturnus contra
Bradypterus baboecala
Chalcomitra amethystina
Euplectes albonotatus
Emberiza cabanisi
Cossypha caffra
Ploceus capensis
Zosterops senegalensis
Serinus canicollis
Cisticola njombe
Hirundo angolensis
Turdus abyssinicus
Chloropeta natalensis
Cisticola nigriloris
Streptopelia semitorquata
Melaniparus griseiventris
Columba arquatrix
Bradypterus cinnamomeus
Nectarinia kilimensis
Sarothrura rufa
Cossypha anomala
Sheppardia sharpei
Hypocnemis striata
Hypocnemoides maculicauda
Phlegopsis nigromaculata
Phyllastrephus flavostriatus
Zoothera gurneyi
Pogoniulus leucomystax
Onychognathus tenuirostris
Apaloderma vittatum
Elminia albonotata
Phyllastrephus cerviniventris
Cisticola woosnami
Tchagra australis
Muscicapa caerulescens
Muscicapa adusta
Halcyon senegalensis
Cercotrichas leucophrys
Ploceus xanthops
Pycnonotus barbatus
Eurystomus glaucurus
Melaniparus rufiventris
Delichon urbicum
Euplectes hartlaubi
Smithornis capensis
Apalis thoracica
Pseudoalcippe abyssinica
Andropadus milanjensis
Phylloscopus ruficapilla
Nectarinia olivacea
Tockus nasutus
Scopus umbretta
Zosterops griseovirescens
Estrilda astrild
Crithagra rufobrunnea
Ploceus sanctithomae
Calamonastes stierlingi
Heliolais erythropterus
Laniarius fuelleborni
Serinus citrinelloides
Francolinus levaillantii
Merops apiaster
Turdus pelios
Turdus libonyana
Luscinia svecica
Gallinula chloropus
Melopsittacus undulatus
Turdus merula
Turdus migratorius
Corvus corone
Turdus unicolor
Agamia agami
Chrysomus icterocephalus
Agelastes niger
Phasidus niger
Ailuroedus melanotis
Aix galericulata
Alauda arvensis
Zosterops lateralis
Zosterops flavifrons
Zosterops xanthochroa
Criniger bres
Passer domesticus
Pomatorhinus ferruginosus
Alcedo atthis
Alcedo leucogaster
Elminia nigromitrata
Alcedo quadribrachys
Alethe diademata
Hylia prasina
Alectoris rufa
Alcippe morrisonia
Garrulax striatus
Alethe poliocephala
Camaroptera brachyura
Cossypha natalensis
Criniger calurus
Criniger chloronotus
Ammodramus aurifrons
Amphispiza bilineata
Anas crecca
Anas falcata
Anas acuta
Anas discors
Anabathmis hartlaubii
Anabathmis newtonii
Antilophia galeata
Anisognathus igniventris
Andropadus latirostris
Phyllastrephus icterinus
Andropadus virens
Bleda notatus
Hirundo rustica
Turdus philomelos
Muscicapa striata
Catharus guttatus
Anser anser
Anthreptes seimundi
Anser fabalis
Cygnus cygnus
Anser indicus
Phalacrocorax carbo
Tadorna ferruginea
Anisognathus somptuosus
Anthus campestris
Anthus hodgsoni
Anthornis melanura
Anthropoides paradiseus
Grus carunculatus
Anthus rubescens
Aphelocoma californica
Pica nuttalli
Aphelocoma woodhouseii
Aptenodytes patagonicus
Aphrastura spinicauda
Elaenia albiceps
Troglodytes musculus
Turdus falcklandii
Zonotrichia capensis
Sephanoides sephanoides
Geothlypis trichas
Melospiza melodia
Carduelis barbata
Curaeus curaeus
Phrygilus patagonicus
Anairetes fernandezianus
Aramides cajanea
Aratinga jandaya
Arachnothera magna
Seicercus poliogenys
Phylloscopus trochiloides
Phylloscopus humei
Aratinga pertinax
Icterus nigrogularis
Sturnella militaris
Buarremon brunneinucha
Atlapetes melanocephalus
Ardea alba
Megascops choliba
Arizelocichla tephrolaema
Arremon taciturnus
Megastictus margaritatus
Psarocolius bifasciatus
Acrocephalus baeticatus
Acrocephalus palustris
Iduna pallida
Asio flammeus
Asio otus
Atlapetes albinucha
Athene noctua
Atlapetes pallidinucha
Attila cinnamomeus
Automolus infuscatus
Automolus ochrolaemus
Cercomacra nigrescens
Automolus rufipileatus
Galbula cyanicollis
Thamnophilus amazonicus
Automolus paraensis
Attila spadiceus
Thamnophilus schistaceus
Epinecrophylla haematonota
Thamnomanes saturninus
Willisornis poecilinotus
Gymnopithys salvini
Paroaria capitata
Rhynchocyclus olivaceus
Baeolophus bicolor
Troglodytes aedon
Passerella iliaca
Pipilo maculatus
Molothrus ater
Myiothlypis coronatus
Cardellina pusilla
Sitta carolinensis
Seiurus noveboracensis
Basileuterus coronatus
Conopophaga lineata
Basileuterus flaveolus
Tyrannus melancholicus
Calidris fuscicollis
Tiaris fuliginosus
Paroaria dominicana
Thamnophilus pelzelni
Coereba flaveola
Tachyphonus rufus
Coryphospingus pileatus
Scardafella squammata
Basileuterus hypoleucus
Basileuterus fulvicauda
Phaethornis yaruqui
Batis mixta
Philesturnus carunculatus
Prosthemadera novaeseelandiae
Meliphaga lewinii
Bernieria madagascariensis
Xanthomixis zosterops
Cinnyris pulchellus
Tetrao tetrix
Turdoides reinwardtii
Setophaga ruticilla
Tyto alba
Falco sparverius
Bubo virginianus
Megascops kennicottii
Bombycilla cedrorum
Bombycilla garrulus
Bonasa umbellus
Fringilla montifringilla
Fringilla coelebs
Acrocephalus griseldis
Cercotrichas podobe
Thamnolaea cinnamomeiventris
Phoenicurus phoenicurus
Phylloscopus collybita
Phylloscopus borealis
Erithacus akahige
Phylloscopus occipitalis
Hippolais icterina
Lanius collurio
Saxicola rubetra
Sylvia atricapilla
Carpodacus erythrinus
Phylloscopus brehmi
Pluvialis fulva
Buteo buteo
Buteo lagopus
Calidris melanotos
Accipiter striatus
Aythya marila
Turdus pallidus
Cygnus columbianus
Poecile atricapilla
Catharus ustulatus
Ixoreus naevius
Periparus ater
Petrochelidon pyrrhonota
Catharus minimus
Vermivora celata
Carduelis pinus
Tachycineta bicolor
Copsychus malabaricus
Copsychus saularis
Hypothymis azurea
Lonchura punctulata
Ploceus nigerrimus
Amandava amandava
Ploceus cucullatus
Limosa lapponica
Bubulcus ibis
Falco eleonorae
Bubo bubo
Bubo scandiacus
Bucephala clangula
Hypsipetes madagascariensis
Sarkidiornis melanotos
Indicator variegatus
Pycnonotus xanthopygos
Pycnonotus cafer
Pycnonotus nigricans
Petronia dentata
Buteo jamaicensis
Buteo lineatus
Buteo regalis
Butorides striata
Strix occidentalis
Cacicus cela
Diglossa cyanea
Calicalicus madagascariensis
Camaroptera chloronota
Campephilus rubricollis
Thryothorus leucotis
Pheugopedius genibarbis
Myiarchus ferox
Camptostoma obsoletum
Gnorimopsar chopi
Thamnophilus caerulescens
Tetrao urogallus
Turdus pilaris
Cardinalis cardinalis
Carduelis carduelis
Carduelis chloris
Serinus serinus
Erithacus rubecula
Emberiza variabilis
Carpodacus mexicanus
Carpodacus pulcherrimus
Casiornis rufus
Casiornis fuscus
Catharus aurantiirostris
Turdus fuscater
Gavia immer
Regulus calendula
Oporornis tolmiei
Loxia curvirostra
Pipilo chlorurus
Setophaga petechia
Corvus corax
Dendroica townsendi
Spizella arborea
Grus vipio
Emberiza cirlus
Ficedula semitorquata
Lophophanes cristatus
Ceyx lecontei
Illadopsis rufipennis
Parmoptila woodhousei
Corythornis madagascariensis
Centropus sinensis
Centropus toulou
Ceratogymna atrata
Certhia brachydactyla
Cercomacra cinerascens
Pipra erythrocephala
Pipra rubrocapilla
Cereopsis novaehollandiae
Cercomacra serva
Cettia cetti
Chamaeza campanisona
Chamaea fasciata
Chalcomitra fuliginosa
Chalcophaps indica
Chaetura spinicaudus
Psarocolius viridis
Chloroceryle aenea
Chloroceryle inda
Chlorospingus ophthalmicus
Chondestes grammacus
Circus aeruginosus
Gyps fulvus
Accipiter virgatus
Buteo rufinus
Larus cachinnans
Larus argentatus
Dendrocopos minor
Larus mongolicus
Ixobrychus minutus
Ninox scutulata
Cisticola anonymus
Anthobaphes violacea
Cinnyris chalybeus
Promerops cafer
Cinnyris chloropygius
Nectarinia chloropygia
Cyanomitra oritis
Cinclus cinclus
Cinnyris coquerellii
Cinnyris souimanga
Nectarinia moreaui
Cinnyris reichenowi
Cinclocerthia ruficauda
Garrulus glandarius
Pica pica
Claravis pretiosa
Climacteris picumnus
Pardalotus punctatus
Pardalotus striatus
Cistothorus palustris
Spizella passerina
Leiothlypis peregrina
Corvus brachyrhynchos
Pica hudsonia
Corvus macrorhynchos
Microscelis amaurotis
Streptopelia orientalis
Loxigilla noctis
Coeligena helianthea
Piranga flava
Poecile gambeli
