;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
1;Common Redpoll;Acanthis flammea;Carduelis;Forest - Temperate & Forest - Boreal;Omnivorous;Ground and Shrub;Open;Shrub and tree;NA;Migratory and resident populations;NA;NA;NA;NA
2;Eastern Spinebill;Acanthorhynchus tenuirostris;NA;Forest - Temperate & Savanna - Dry;Omnivorous;Shrub;Open;Shrub and tree;NA;;3060000;NA;NA;Resident
3;Shikra;Accipiter badius;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Open;Tree;NA;;62500000;NA;NA;Migratory
4;Levant Sparrowhawk;Accipiter brevipes;NA;Forest - Temperate;Omnivorous;Shrub and tree;Open;Tree;NA;;2360000;2000;NA;Migratory
5;Cooper's Hawk;Accipiter cooperii;NA;Forest - Temperate;Carnivore;Ground, shrub and tree;Open;Tree;NA;;11800000;3000;600;Migratory
6;Frances's Sparrowhawk;Accipiter francesiae;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Open;Tree;NA;Predation by Pied Crow (Corvus albus);931000;2000;NA;Resident
7;Northern Goshawk;Accipiter gentilis;NA;Forest - Temperate & Forest - Boreal;Carnivore;Ground;Open;Tree;NA;;115000000;3400;0;Migratory
8;Eurasian Sparrowhawk;Accipiter nisus;NA;Forest - Temperate & Forest - Boreal;0,30455;Tree;Open;Tree;No;;54400000;4500;0;Migratory
9;Chinese Sparrowhawk;Accipiter soloensis;NA;Forest - Temperate;Omnivorous;Ground;Open;Tree;NA;Predation by snakes and Jays;4070000;1500;NA;Migratory
10;Sharp-shinned Hawk;Accipiter striatus;NA;Forest - Temperate & Forest - Boreal & Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Carnivore;Tree;Open;Tree;No;;60500000;3700;900;Migratory
11;African Goshawk;Accipiter tachiro;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Tree;NA;;8940000;3000;0;Resident
12;Besra;Accipiter virgatus;NA;Forest - Temperate & Forest - Subtropical/Tropical Moist Lowland;Carnivore;Ground and Tree;Open;Tree;No;;21200000;2200;300;Resident
13;Common Myna ;Acridotheres tristis;Sturnus;Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level & Grassland - Subtropical/Tropical Seasonally Wet/Flooded;Omnivorous;Ground;Cavity;Tree;Yes;Great spotted cuckoo;NA;NA;NA;NA
14;Thick-billed Warbler;Acrocephalus aedon;Arundinax;Shrubland - Temperate;Insectivorous;Shrub and tree;Open;Shrub;NA;;NA;NA;NA;NA
15;Paddyfield Warbler;Acrocephalus agricola;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Insectivorous;Ground and Shrub;Open;Shrub;NA;;6530000;NA;NA;Migratory
16;Great Reed-warbler;Acrocephalus arundinaceus;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Insectivorous;Shrub;Open;Shrub;Yes;Parasitation by Common cuckoo;22200000;NA;NA;Migratory
17;African Reed-warbler;Acrocephalus scirpaceus baeticatus;Acrocephalus baeticatus;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Ground and Shrub;Open;Shrub;NA;;NA;NA;NA;NA
18;Blyth's Reed-warbler;Acrocephalus dumetorum;NA;Forest - Temperate;Insectivorous;Shrub and tree;Open;Shrub;NA;;4230000;1200;NA;Migratory
19;Basra Reed-warbler;Acrocephalus griseldis;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Insectivorous;NA;NA;NA;NA;Presumebly like Arundinaceus;438000;NA;NA;Migratory
20;Madagascar Swamp-warbler;Acrocephalus newtoni;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Insectivorous;Shrub;Open;Shrub;NA;;689000;NA;NA;Resident
21;Marsh Warbler;Acrocephalus palustris;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Shrub;Open;Shrub;NA;;2830000;NA;NA;Migratory
22;Common Reed-warbler;Acrocephalus scirpaceus;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Ground and Shrub;Open;Shrub;Yes;Common cuckoo;36600000;1400;NA;Migratory
23;Clamorous Reed-warbler;Acrocephalus stentoreus;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Shrub;Open;Shrub;No;;19800000;3000;NA;Migratory
24;Spotted Kingfisher;Actenoides lindsayi;NA;Artificial/Terrestrial - Rural Gardens;Omnivorous;Ground and Shrub;Cavity;Shrub and ground;NA;;314000;1200;NA;Resident
25;Speckled Hummingbird;Adelomyia melanogenys;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub;Open;Shrub;No;;4450000;2500;1000;Resident
26;Long-tailed Tit;Aegithalos caudatus;NA;Forest - Temperate & Shrubland - Temperate;Omnivorous;Shrub and tree;Closed;Shrub;No;;44600000;NA;NA;Migratory
27;Black-throated Tit;Aegithalos concinnus;NA;Forest - Temperate;Omnivorous;Shrub;Closed;Shrub;No;;4080000;NA;NA;Resident
28;Common Iora;Aegithina tiphia;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Tree;Open;Shrub and tree;Yes;Banded Bay Cuckoo;14900000;NA;NA;Resident
29;Boreal Owl;Aegolius funereus;NA;Forest - Boreal;Omnivorous;Groung and Shrub;Cavity;Tree;No;;73800000;NA;NA;Migratory
30;Cinereous Vulture;Aegypius monachus;NA;Forest - Temperate;Carnivore;Ground;Open;Tree;No;;22400000;4500;300;Migratory
31;Agami Heron;Agamia agami;NA;Forest - Subtropical/Tropical Swamp;Piscivore;Ground;Open;Shrub and tree;No;;12200000;2600;300;Resident
32;Black Guineafowl ;Agelastes niger;Phasidus niger;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Ground;NA;NA;NA;Nest undescribed;2180000;NA;NA;Resident
33;Black-eared Catbird;Ailuroedus melanotis;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Shrub;No;;2140000;NA;NA;Resident
34;Mandarin Duck;Aix galericulata;NA;Forest - Temperate;Omnivorous;Ground;Cavity;Tree;No;Using Black woodpecker old nest;5710000;NA;NA;Migratory
35;Eurasian Skylark;Alauda arvensis;NA;Marine Intertidal - Salt Marshes (Emergent Grasses) & Artificial/Terrestrial - Arable Land & Grassland - Temperate;Omnivorous;Ground;Open;Ground;No;;42900000;3500;NA;Migratory
36;Common Kingfisher;Alcedo atthis;NA;Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Omnivorous;Ground;Cavity;Shrub;No;;79900000;NA;NA;Migratory
37;Shining-blue Kingfisher;Alcedo quadribrachys;NA;Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes & Marine Coastal/Supratidal - Coastal Freshwater Lakes;Omnivorous;Ground;Cavity;Shrub;NA;;8120000;1800;NA;Resident
38;Grey-cheeked Fulvetta;Alcippe morrisonia;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub;Open;Shrub;No;;4630000;NA;NA;Resident
39;Red-legged Partridge;Alectoris rufa;NA;Artificial/Terrestrial - Arable Land & Shrubland - Temperate;Omnivorous;Ground;Open;Ground;Yes;Common Quail (use the nest);1710000;2000;NA;Resident
40;White-tailed Alethe;Alethe diademata;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground and Shrub;Open;Ground and Shrub;No;;782000;1500;NA;Resident
41;Grey-cheeked bulbul;Alophoixus tephrogenys;Criniger bres;Forest - Temperate;Omnivorous;Shrub and tree;Open;Shrub;NA;;NA;NA;NA;NA
42;Red Avadavat;Amandava amandava;NA;Artificial/Terrestrial - Arable Land;Omnivorous;Ground and Shrub;Closed;Shrub;No;;16300000;NA;NA;Resident
43;Zebra Waxbill;Amandava subflava;NA;Artificial/Terrestrial - Arable Land;Omnivorous;Ground and Shrub;Closed;Shrub;Yes;Jambandu Indogobird and Pin tailed Whydah;20800000;2000;250;Resident
44;Yellow-browed Sparrow;Ammodramus aurifrons;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground;Open;Ground;NA;;7610000;1500;NA;Resident
45;Black-throated Sparrow;Amphispiza bilineata;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground and Shrub;Open;Shrub;Yes;Brown-head cowbird;2500000;2200;NA;Migratory
46;Principe Sunbird;Anabathmis hartlaubii;NA;Artificial/Terrestrial - Plantations;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;NA;;200;NA;NA;Resident
47;Newton's Sunbird;Anabathmis newtonii;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Tree;Open;Shrub and tree;Yes;African Emerald Cuckoo;970;NA;NA;Resident
48;Juan Fernandez Tit-tyrant;Anairetes fernandezianus;NA;Forest - Subtropical/Tropical Dry;Insectivorous;Shrub and tree;NA;NA;NA;Not documented;140;900;NA;Resident
