"","scientific_name","scientfic_malavi","order","family","genus","pass_nonpass","common_name","redlist_category","population_trend","movements","elevation_upper","elevation_lower","nocturnal","diet_category","body_mass","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aearial","nest_type","nest_site","habitat_names","habitat_category"
"1","Luscinia megarhynchos","Luscinia megarhynchos","PASSERIFORMES","MUSCICAPIDAE","Luscinia","Passeriformes","Common Nightingale","LC","Stable","Migrant",1400,NA,"0","Invertebrate",19.6,0,0,70,30,0,0,0,"Open","Shrub","Forest - Temperate;Shrubland - Temperate","ForestShrubland"
"2","Macropygia amboinensis","Macropygia amboinensis","COLUMBIFORMES","COLUMBIDAE","Macropygia","Nonpasseriformes","Slender-billed Cuckoo-dove","LC","Stable","Resident",2000,0,"0","Omnivore",237,0,0,33,33,33,0,0,"Open","Shrub","Forest - Subtropical/Tropical Dry;Forest - Subtropical/Tropical Moist Lowland","Forest"
"3","Machaerirhynchus flaviventer","Machaerirhynchus flaviventer","PASSERIFORMES","MACHAERIRHYNCHIDAE","Machaerirhynchus","Passeriformes","Yellow-breasted Boatbill","LC","Stable","Resident",NA,NA,"0","Invertebrate",10.32,0,0,0,20,60,20,0,"Open","Tree","Forest - Subtropical/Tropical Moist Lowland","Forest"
"4","Manacus manacus","Manacus manacus","PASSERIFORMES","PIPRIDAE","Manacus","Passeriformes","White-bearded Manakin","LC","Stable","Resident",1000,NA,"0","FruiNect",16.7,0,0,0,80,20,0,0,"Open","Shrub","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Wetland"
"5","Xenopipo atronitens","Xenopipo atronitens","PASSERIFORMES","PIPRIDAE","Xenopipo","Passeriformes","Black Manakin","LC","Decreasing","Resident",1200,NA,"0","FruiNect",15.54,0,0,0,50,50,0,0,NA,NA,"Savanna - Dry;Shrubland - Subtropical/Tropical Dry","GrasslandShrubland"
"6","Hemitriccus margaritaceiventer","Hemitriccus margaritaceiventer","PASSERIFORMES","TYRANNIDAE","Hemitriccus","Passeriformes","Pearly-vented Tody-tyrant","LC","Stable","Resident",2000,NA,"0","Invertebrate",8.4,0,0,0,40,60,0,0,"Open","Tree;Shrub","Forest - Subtropical/Tropical Dry;Shrubland - Subtropical/Tropical Dry","ForestShrubland"
"7","Margarops fuscatus","Margarops fuscatus","PASSERIFORMES","MIMIDAE","Margarops","Passeriformes","Pearly-eyed Thrasher","LC","Stable","Resident",900,NA,"0","FruiNect",98.43,0,0,0,20,60,20,0,"Cavity","Tree","Shrubland - Subtropical/Tropical Dry","Shrubland"
"8","Allenia fusca","Margarops fuscus","PASSERIFORMES","MIMIDAE","Allenia","Passeriformes","Scaly-breasted Thrasher","LC","Unknown","Resident",900,NA,"0","FruiNect",67.07,0,0,0,0,50,50,0,"Open","Tree","Forest - Subtropical/Tropical Moist Lowland","Forest"
"9","Melanerpes erythrocephalus","Melanerpes erythrocephalus","PICIFORMES","PICIDAE","Melanerpes","Nonpasseriformes","Red-headed Woodpecker","LC","Decreasing","Migrant",NA,NA,"0","Invertebrate",71.6,0,0,20,20,60,0,0,"Cavity","Tree","Forest - Temperate;Forest - Subtropical/Tropical Dry","Forest"
"10","Malacoptila fusca","Malacoptila fusca","PICIFORMES","BUCCONIDAE","Malacoptila","Nonpasseriformes","White-chested Puffbird","LC","Stable","Resident",900,NA,"0","Invertebrate",45.4,0,0,50,50,0,0,0,"Cavity","Tree","Forest - Subtropical/Tropical Moist Lowland","Forest"
"11","Poicephalus meyeri","Poicephalus meyeri","PSITTACIFORMES","PSITTACIDAE","Poicephalus","Nonpasseriformes","Brown Parrot","LC","Stable","Resident",2200,600,"0","PlantSeed",117.47,0,0,0,20,60,20,0,"Cavity","Tree","Savanna - Dry","Grassland"
"12","Malimbus rubricollis","Malimbus rubricollis","PASSERIFORMES","PLOCEIDAE","Malimbus","Passeriformes","Red-headed Malimbe","LC","Stable","Resident",NA,NA,"0","Invertebrate",42.2,0,0,0,0,10,90,0,"Closed","Tree","Forest - Subtropical/Tropical Moist Lowland","Forest"
"13","Poecile palustris","Parus palustris","PASSERIFORMES","PARIDAE","Poecile","Passeriformes","Marsh Tit","LC","Decreasing","Resident",2500,NA,"0","Omnivore",11.14,0,0,0,20,80,0,0,"Cavity","Tree","Forest - Temperate","Forest"
"14","Merops breweri","Merops breweri","CORACIIFORMES","MEROPIDAE","Merops","Nonpasseriformes","Black-headed Bee-eater","LC","Decreasing","Resident",NA,NA,"0","Invertebrate",49.74,0,0,20,50,30,0,0,"Cavity","Bank","Forest - Subtropical/Tropical Moist Lowland","Forest"
"15","Megadyptes antipodes","Megadyptes antipodes","SPHENISCIFORMES","SPHENISCIDAE","Megadyptes","Nonpasseriformes","Yellow-eyed Penguin","EN","Decreasing","Resident",75,NA,"0","VertFishScav",5326.24,100,0,0,0,0,0,0,"Open","Ground","Forest - Subantarctic;Forest - Temperate;Shrubland - Temperate","ForestShrubland"
